"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
2.0,4.1000004,5.573592,0.0,9613.953,1465.0863,1639.0677,48.17969,0.08431935,1.9572773E-4,18.504036,3682.332,1161.9539,0.0,0.42997804,17597.24
2.0,4.2,7.6676984,0.14969333,2756.3662,5104.7812,751.98376,201.87637,2.9484907E-4,0.036652517,47.09719,8319.769,3087.3645,490678.72,1.7412724E-5,38426.66
2.0,4.3,9.16994,4.5258603E-5,2275.7815,3884.5457,1005.0296,172.63669,0.1553794,0.0,0.64024574,29489.34,9315.456,538046.8,40.983673,185071.06
2.0,4.4,8.214325,0.06902398,13949.132,10689.08,1834.1924,193.6985,0.0,0.25714004,44.28839,2221.9966,3211.1357,78473.336,0.0,14003.02
2.0,4.5,27.840199,1.6971535E-5,11266.664,101298.45,3364.5452,2554.1045,0.0,0.0,10.749352,6866.991,5169.348,151906.62,0.0,27206.21
2.0,4.6000004,42.656868,0.0,24685.613,125131.09,6882.944,4368.706,9.965085E-6,0.27910936,96.350716,13538.526,4527.1807,544424.8,25.344332,254078.48
2.0,4.7,28.639458,0.0035206298,22344.13,79263.5,4551.034,3399.4373,0.01824857,0.029126845,142.45923,10446.963,3940.1667,346807.44,33.881725,106006.78
2.0,4.8,32.63368,17.298763,26304.879,102193.98,8216.663,3246.9517,0.13466905,0.7922263,318.60068,4711.134,688.0747,839966.1,0.3799546,117827.78
2.0,4.9,253.28586,3.5804896,40603.06,105576.72,18973.61,2506.767,1.12470545E-4,1.2371428,2308.7158,4682.7246,4170.116,0.0,5.514205,117553.625
2.0,5.0,14.046211,0.0,7660.8257,17710.984,2045.6344,464.37183,0.0,0.0,0.0,998.8804,167.63199,0.0,0.0,47857.26
2.0,5.1,6.846645,0.0,1495.8922,11103.306,1230.3218,393.88144,0.0,0.0,0.0,3784.595,286.8328,0.0,0.0,39821.4
2.0,5.2000003,14.388722,0.0,1007.91095,16579.193,1782.255,493.4039,0.0,0.0,0.0,3689.4849,2386.1262,0.0,14.953233,80290.81
2.0,5.3,0.0,0.0,0.0,5936.243,177.44887,127.84082,0.0,0.0,0.0,0.0,687.3153,0.0,0.0,55636.953
2.0,5.4,0.0,0.0,349.70825,8903.459,0.034917694,97.41329,0.0,0.0,0.0,5.0838207E-6,0.0,0.0,0.0,13406.106
2.0,5.5,0.08866028,0.0,12.063118,5401.5596,0.001690046,115.401146,0.0,0.0,0.0,0.0,25.404247,0.0,0.0,22889.62
2.0,5.6,0.0,0.0,569.32196,6809.079,0.0,244.2206,0.0,0.0,0.0,1.8189599E-4,0.0,0.0,0.0,45851.684
2.0,5.7000003,0.0,0.0,1.0309739E-4,5309.371,0.0,59.54443,0.0,0.0,0.0,0.0034613898,129.05153,0.0,0.0,23097.533
2.0,5.8,0.0,0.0,0.0,3636.937,0.0,96.360504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22238.21
2.0,5.9,0.0,0.0,0.0,2648.7385,0.0,188.28812,0.0,0.0,0.0,0.0,0.050538506,0.0,0.0,55768.727
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
