"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","lesserSpottedDogfish < 10.0","lesserSpottedDogfish >=10.0","lesserSpottedDogfish >=30.0","redMullet < 10.0","redMullet >=10.0","redMullet >=30.0","pouting < 10.0","pouting >=10.0","pouting >=30.0","whiting < 10.0","whiting >=10.0","whiting >=30.0","poorCod < 10.0","poorCod >=10.0","poorCod >=30.0","cod < 10.0","cod >=10.0","cod >=30.0","dragonet < 10.0","dragonet >=10.0","dragonet >=30.0","sole < 10.0","sole >=10.0","sole >=30.0","plaice < 10.0","plaice >=10.0","plaice >=30.0","horseMackerel < 10.0","horseMackerel >=10.0","horseMackerel >=30.0","mackerel < 10.0","mackerel >=10.0","mackerel >=30.0","herring < 10.0","herring >=10.0","herring >=30.0","sardine < 10.0","sardine >=10.0","sardine >=30.0","squids < 10.0","squids >=10.0","squids >=30.0"
1.0,"sole >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"plaice < 10.0",0.0,0.0,NaN,0.0,0.0,NaN,1.5938052E-5,0.0,0.0,0.04982664,0.039816137,0.0,2.512847E-4,0.0,NaN,0.0066752206,4.804127E-4,0.0,2.3015936E-4,0.0,NaN,9.542932E-6,0.0,0.0,0.0037084604,0.014676467,0.0,1.8594026E-5,2.5931587,NaN,0.0,5.4491125E-4,NaN,5.395131E-4,1.1200724E-5,NaN,1.6505288E-11,0.0,NaN,0.045275953,0.0013590457,0.0
1.0,"plaice >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.78611594,2.110009,0.0,0.0,NaN,0.0,0.10197158,0.5797944,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"plaice >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"horseMackerel < 10.0",0.0,2.0449653,NaN,0.35599697,0.0,NaN,3.442449,50.97447,30.307554,13.217945,20.634113,17.77455,3.1891623,10.258598,NaN,4.761904,11.451959,5.641553,0.6959844,0.0,NaN,1.2912359,0.40422672,0.0,2.1329548,1.4845715,0.0,7.8602853,73.27345,NaN,1.7458441,17.244112,NaN,0.17514056,0.4080125,NaN,0.39883748,9.650008E-5,NaN,2.1036165,20.385944,39.684727
1.0,"horseMackerel >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.44732773,3.4595602,0.0,0.0,NaN,0.0,0.14221956,0.45631674,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.10222832,4.8602557
1.0,"horseMackerel >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"mackerel < 10.0",0.0,0.04060791,NaN,0.037795924,0.0,NaN,0.13870144,0.28885096,0.001557386,0.36533567,1.4315022,0.43568182,0.060850676,0.6960392,NaN,0.21595679,4.736096,2.2217264,0.009275129,0.0,NaN,0.0140322335,0.009399485,0.0,0.0,0.0013441727,0.0,0.006898092,0.08103362,NaN,0.24868967,1.5362629,NaN,0.0,0.0,NaN,0.00282754,5.72329E-5,NaN,0.81760025,5.8371644,2.2302125
1.0,"mackerel >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.64029175,1.9557253,0.0,0.0,NaN,0.0,0.45695275,1.2551398,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.96857136,1.5054806
1.0,"mackerel >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
